name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Louisville,2023-02-25,12.8,2.8,7,12.8,-0.4,5.7,-0.3,60.9,0.363,100,4.17,rain,0,0,16.6,13.9,299.2,1023.6,58.2,16,145.8,12.5,6,10,2023-02-25T07:20:46,2023-02-25T18:32:05,0.18,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-26,15.6,1.8,8.8,15.6,0,8.4,4.1,74.1,0,0,0,,0,0,18.4,17.4,196.4,1017.2,50.7,15.1,145,12.6,6,10,2023-02-26T07:19:24,2023-02-26T18:33:08,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-27,23.4,10.9,16.5,23.4,10.9,16.5,9.9,68.8,2.384,100,20.83,rain,0,0,90,49.2,214.1,999.6,89.1,15.1,77.7,6.8,5,10,2023-02-27T07:18:00,2023-02-27T18:34:10,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-28,17.3,9.4,12.5,17.3,7.5,12.2,5.2,62.3,0,0,0,,0,0,53.9,29.9,321.8,1009.5,33.4,16,182.5,15.8,7,10,2023-02-28T07:16:37,2023-02-28T18:35:12,0.28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-03-01,27.3,7.4,17.1,26.6,7.1,16.8,7.2,57.4,1.555,100,12.5,rain,0,0,56.6,31.6,198.7,1007.7,43.2,15.9,165.8,14.2,6,10,2023-03-01T07:15:12,2023-03-01T18:36:14,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-03-02,15.6,10,11.9,15.6,10,11.9,3.8,59.3,1.678,100,8.33,rain,0,0,29.5,17,15.9,1010.8,64,15.9,108.7,9.5,5,10,2023-03-02T07:13:47,2023-03-02T18:37:15,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-03-03,18.4,5,9.7,18.4,-0.5,7.4,6.5,81.8,64.073,100,70.83,rain,0,0,109.4,64.7,214.7,995.8,98.8,11.7,19.8,1.6,2,10,2023-03-03T07:12:21,2023-03-03T18:38:16,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,E2323,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-03-04,18,4.7,9.7,18,1.9,8.1,0.8,57.1,0,0,0,,0,0,42.5,25.6,281.3,1014.8,41.8,15.9,179.9,15.5,7,10,2023-03-04T07:10:54,2023-03-04T18:39:17,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,AU953,KSDF,72423093821,72424013807"
Louisville,2023-03-05,17.2,2.8,10.5,17.2,1.5,10.3,2,58.3,0,0,0,,0,0,14.8,14.7,111.1,1022.3,40.1,16,175.8,15.1,6,10,2023-03-05T07:09:27,2023-03-05T18:40:18,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTK,E0797,AU953,KSDF,72423093821,72424013807"
Louisville,2023-03-06,25,6.7,16.2,25,4.5,15.7,4.8,49.5,0,0,0,,0,0,55.1,35.1,219.2,1014.6,53.5,16,175.8,15.3,6,10,2023-03-06T07:07:59,2023-03-06T18:41:18,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,E0797,AU953,KSDF,72423093821,72424013807"
